# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1416380690;sda;28.58;0.00;6535.60;228.65;1.08;37.63;0.30;0.85
axle;60;1416380750;sda;3.61;0.00;683.65;189.33;0.02;5.89;0.31;0.11
axle;60;1416380810;sda;3.81;2.27;749.91;197.58;0.03;9.02;0.25;0.09
axle;60;1416380870;sda;0.63;0.00;38.85;61.26;0.00;0.32;0.11;0.01
axle;60;1416380930;sda;0.45;0.00;45.07;99.85;0.00;0.00;0.00;0.00
axle;60;1416380990;sda;0.89;0.00;109.50;123.32;0.00;0.30;0.15;0.01
axle;60;1416381050;sda;0.80;0.00;94.43;118.00;0.00;0.58;0.08;0.01
axle;60;1416381110;sda;0.58;0.00;37.98;65.14;0.00;0.00;0.00;0.00
axle;60;1416381170;sda;0.63;0.00;65.43;103.16;0.00;1.47;0.21;0.01
axle;60;1416381230;sda;0.63;0.00;60.70;95.79;0.00;1.05;0.11;0.01
axle;60;1416381290;sda;1.05;0.00;156.18;148.32;0.00;0.63;0.19;0.02
axle;60;1416381350;sda;0.90;0.27;93.50;104.15;0.00;0.07;0.07;0.01
